id,p_label,1,2,3,4,5,6,7,8
39529,0,0.004144298,-0.00013616867,0.005854048,0.0029031597,-0.0061012655,0.004221581,-0.0035127178,0.0021748329
23135,0,0.005727373,-0.0016856324,0.004907552,0.0027983617,-0.006757904,0.004596859,-0.0026440434,0.0018998804
27218,0,0.005162851,-0.0008734595,0.0053277053,0.002493577,-0.0059675127,0.0044608824,-0.0030525327,0.002601061
25539,0,0.004017025,-0.0006136913,0.0058519393,0.0029880647,-0.0070772953,0.003975615,-0.003441304,0.0015598023
23335,0,0.005566541,-0.001212215,0.004909672,0.0029925797,-0.0064013004,0.0046018586,-0.0029474236,0.0019944785
39239,0,0.0048906254,-0.0027606692,0.0058283545,0.0029193964,-0.009088047,0.004909292,-0.0017860197,0.0005656872
42396,0,0.0051708594,-0.0015581995,0.0054231137,0.0018180925,-0.0068569705,0.004340891,-0.002375733,0.0024905792
23549,0,0.004522085,-0.0016065668,0.0058249235,0.0011958927,-0.007076159,0.004177984,-0.0019566715,0.002855991
27687,0,0.004833862,-0.0013298709,0.0052321814,0.001618566,-0.006612245,0.004027929,-0.0021928474,0.002809165
39373,0,0.006571525,-0.00044604577,0.003964074,0.0053570755,-0.005284354,0.0045530386,-0.004440991,0.0005598832
46493,0,0.005515525,-0.0023341011,0.0053042695,0.0018551443,-0.0076271407,0.004663732,-0.0019243322,0.0020305756
42716,0,0.0045419103,-0.0014792122,0.0056369975,0.0024115127,-0.0074614286,0.0041152015,-0.0025918782,0.0017675618
21216,0,0.005632058,-0.0010206997,0.0048420355,0.0031601228,-0.0059623346,0.0044633374,-0.003230609,0.0021277396
39168,0,0.006219454,-0.000893455,0.005444512,0.0032042805,-0.0050397813,0.0053241327,-0.0035633314,0.0025910307
47289,4,0.0075592333,-0.0025297962,0.0031490661,0.00456959,-0.006716732,0.00387967,-0.0034810025,0.0001500966
26622,0,0.005861068,-0.0008685831,0.0049474724,0.0034319423,-0.0055029504,0.0045398213,-0.0036022998,0.0020900844
25335,4,0.0045857467,-3.5787e-05,0.005344946,0.0057267733,-0.0066849366,0.0033203885,-0.00486158,-0.00014657248
28096,0,0.0055628642,-0.0014079865,0.0050984956,0.0023674238,-0.006402485,0.0046190955,-0.0027211308,0.002422669
46581,4,0.0075735906,-0.002309626,0.0032380596,0.005439637,-0.0065571256,0.0035346746,-0.004190553,-0.0005132733
41063,4,0.007077994,-0.0010206308,0.0032897368,0.005121816,-0.0048089623,0.0033407733,-0.004772583,0.00068276655
21250,0,0.0050699003,-0.0008457508,0.005375672,0.0025066305,-0.0060756356,0.0043561384,-0.0031258948,0.002495124
21625,0,0.0048886547,-0.0007300116,0.0055561513,0.0023901593,-0.00591895,0.0044498406,-0.0031102076,0.0026310077
40879,0,0.006364962,-0.0012895167,0.003811136,0.0050706845,-0.006144777,0.0038237274,-0.0041864496,0.00015203655
23485,0,0.0047974056,-0.0016282164,0.0051897466,0.0019156709,-0.00717248,0.0040063076,-0.0021766722,0.0022868263
22348,0,0.0044117384,-0.001149511,0.005680993,0.0029514283,-0.007207632,0.0043909177,-0.0029023215,0.0016417922
22641,0,0.005385209,-0.00092378445,0.0050781406,0.003091814,-0.005980555,0.004468359,-0.0032790191,0.0021047993
21369,0,0.0065007396,-0.0016626287,0.004331745,0.0036129598,-0.006079614,0.0043266118,-0.0033857208,0.0014637234
21186,0,0.004616176,-0.0007570479,0.0054856613,0.0021008626,-0.00620351,0.0040081777,-0.0029050112,0.0027145604
27133,0,0.0059242165,-0.00094378926,0.0053165182,0.0029725973,-0.005450122,0.0052224435,-0.0032551475,0.002596098
46454,1,0.0054915715,-0.0036580656,0.0052239336,0.0023425538,-0.009828299,0.004624542,-0.001130119,0.0004153913
22454,0,0.0050904434,-0.0012105163,0.0051973276,0.0025816318,-0.0064943805,0.0045170784,-0.0028255135,0.0022271406
22913,0,0.0049497057,-0.0013721529,0.0052598044,0.0020493455,-0.0068064854,0.0039376467,-0.0025412664,0.002362606
23145,0,0.005449474,-0.0013999045,0.0049782097,0.0027474668,-0.006444201,0.0044878684,-0.0028415248,0.0020552436
