x,y,index,esp,labels,p_label,mode
-34.1083666483569,-13.912645489968416,39529,6,0,0,train
-46.30176551393709,-26.780275027813317,23135,3,0,0,train
-11.200447299239695,-45.77628499231351,27218,5,0,0,train
-4.482465099157942,-16.277455806305966,157629,10,0,0,train
-24.48760575361176,-3.1913815103935015,25539,4,0,0,train
-46.042494396131644,-28.18161878771628,23335,3,0,0,train
0.003344704906920626,-16.919223646550975,157457,10,0,0,train
-27.80108030226942,4.090469695399091,39239,6,0,0,train
24.27419242100057,-1.4807750146692022,23549,3,0,0,train
35.995056641484844,1.411469769206943,157939,10,0,0,train
-11.330176635832887,16.286031511110096,158143,10,0,0,train
32.748545452893424,-12.20197143818163,27687,5,0,0,train
-57.79756114141364,25.47904842096999,39373,6,0,0,train
-22.68265464808326,-10.654997542935014,46493,9,0,0,train
-51.85267623561417,-15.668714837103916,21216,11,0,0,train
15.928205007128845,-21.944719726595782,157311,10,0,0,train
-58.051888761239084,-6.836637507823126,39168,6,0,0,train
-46.46382809017395,36.57430824313548,47289,9,4,4,train
-56.01937399871364,-15.84497815677125,26622,5,0,0,train
-35.182336140173355,21.377617659238556,25335,4,4,4,train
-25.542678645191195,-39.24180916794968,28096,5,0,0,train
-41.85635485953016,38.94414682160097,46581,9,4,4,train
13.254804864904578,11.518188581186456,157670,10,0,0,train
-48.97109868864225,30.568886021054073,41063,7,4,4,train
-17.123109896912997,-45.78478280673801,21250,11,0,0,train
-17.136892940723804,-33.63977954318385,21625,1,0,0,train
-46.23110790289607,29.262880203371832,40879,7,0,4,train
11.623410538011854,-33.89720966538489,23485,3,0,0,train
-19.293471816217867,-15.527063289662804,22348,2,0,0,train
10.890615119417888,8.3141587615554,157192,10,0,0,train
-38.1144527331309,-24.583405507089356,22641,2,0,0,train
-53.50612554138338,2.1338474307276147,21369,1,0,0,train
13.821786240816184,-29.531405039327375,21186,11,0,0,train
-49.593050641206695,-42.37055455603941,27133,5,0,0,train
-12.798939583945089,7.153519868870331,46454,9,1,1,train
-23.242308245323265,-36.37363895867941,22454,2,0,0,train
14.15368448966224,-30.050105011629107,22913,3,0,0,train
-36.441565887957374,-38.204857817231655,23145,3,0,0,train
-45.17697469424041,-38.27385414137122,25086,4,0,0,train
-42.96197653310312,-25.278932074855803,23021,3,0,0,train
20.016089660358006,-6.312620951295733,40587,7,0,0,train
-6.828228980862217,56.28053681505884,27971,5,4,4,train
-3.1299029499910622,5.986394356012294,157018,10,1,1,train
-24.49666273988793,7.084033847478494,20185,0,0,0,train
-36.92968223321877,-4.281658061450355,39909,6,0,0,train
62.163766414881124,-7.1926782784011145,26040,4,2,2,train
-5.500275837996235,-23.308119124207902,157085,10,0,0,train
-0.8317752552507631,-19.29684831276121,157445,10,0,0,train
-58.92896571843022,-23.751052140887026,27242,5,0,0,train
-13.801329327596036,-44.13192656885873,26297,4,0,0,train
-51.762772027325816,-33.44530919049022,41297,7,0,0,train
-2.2612299000824034,9.878661297572066,21590,1,0,0,train
4.825894070861496,52.58675776288264,39400,6,4,4,train
-37.46244116333775,17.06200089451299,25640,4,4,0,train
-42.340502273875956,39.104063464702364,46448,9,4,4,train
-36.516668671311265,-17.749960648274364,39511,6,0,0,train
-45.53682215894563,-36.79778262000066,25132,4,0,0,train
39.47805292152636,-0.522009195194296,157295,10,0,0,train
-53.34114297608388,32.56017868651388,41627,7,4,4,train
-22.850321112716347,18.223475491852632,25569,4,0,0,train
